title,longitude,latitude,temporarilyClosed,totalScore,reviewsCount,categoryName,Dine_in,Outdoor_Seating
Fishbone,-74.0009008,40.7424753,TRUE,4.5,,Cocktail bar,TRUE,
El Quinto Pino,-74.0011974,40.7474124,TRUE,4.3,,Spanish restaurant,TRUE,
Salinas,-74.0029917,40.7436444,TRUE,4.4,,Spanish restaurant,TRUE,
Daddy-O,-74.0041906,40.7303837,TRUE,4,,Bar,TRUE,
Dante's Gourmet Foods,-74.005685,40.710198,TRUE,4,,Sandwich shop,TRUE,
Vietspot Tribeca,-74.006976,40.7164419,TRUE,4.2,,Vietnamese restaurant,TRUE,
Hank's Juicy Beef,-74.0072147,40.7143487,TRUE,4.5,,Sandwich shop,TRUE,
Hearth on the High Line,-74.0074345,40.7428831,TRUE,4,,Wine bar,TRUE,
Jim Brady's,-74.0075839,40.7076363,TRUE,4.3,,Irish pub,TRUE,
Blue Ribbon Federal Grill,-74.0077109,40.7079853,TRUE,4.4,,American restaurant,TRUE,
Financier Patisserie,-74.0083769,40.7074215,TRUE,4.1,,Patisserie,TRUE,
B & Co,-74.008532,40.712796,TRUE,3.6,,Sandwich shop,TRUE,
&pizza - Wall Street,-74.0085474,40.7057647,TRUE,4.6,,Pizza restaurant,TRUE,
Little Park,-74.009131,40.7152206,TRUE,4.4,,American restaurant,TRUE,
Schnippers,-74.0092143,40.7136214,TRUE,4.2,,Fast food restaurant,TRUE,
Il Mulino New York - Tribeca,-74.010062,40.719033,TRUE,4.2,,Italian restaurant,TRUE,
Church & Dey,-74.0103057,40.7111618,TRUE,3.8,,Bar,TRUE,
Reverendo Taco & Tequila Bar,-74.0103936,40.704461,TRUE,4.1,,Restaurant,TRUE,
Bluestone Lane Coffee Shop - Financial District,-74.0116277,40.7062784,TRUE,4.4,,Coffee shop,TRUE,
Cappone¡¯s Salumeria,-74.0118801,40.7020841,TRUE,4.1,,Italian restaurant,TRUE,
Chopt Creative Salad Co.,-74.0118801,40.7020841,TRUE,4,,Salad shop,TRUE,
Blarney Stone,-74.0138025,40.7063433,TRUE,3.9,,Gastropub,TRUE,
Parm,-74.0161101,40.7144287,TRUE,4,,Italian restaurant,TRUE,
Empellon,-73.9747222,40.7597222,TRUE,4.4,691,Restaurant,,
The Bar Room,-73.9768318,40.7609475,TRUE,4.7,35,Bar,,
Patina Restaurant Group,-73.9787369,40.7521234,TRUE,4.7,3,Corporate office,,
Potbelly Sandwich Shop,-73.9793374,40.7589632,TRUE,3.8,109,Sandwich shop,,
The Stagecoach Tavern,-73.9817895,40.7634267,TRUE,4.3,688,Irish pub,,
Basso56,-73.982685,40.7656094,TRUE,4.5,463,Italian restaurant,,
Black Iron Burger,-73.98298,40.7669606,TRUE,4.6,12,Hamburger restaurant,,
Windfall,-73.983705,40.752465,TRUE,4.3,185,Bar & grill,,
Potbelly Sandwich Shop,-73.9844547,40.7490649,TRUE,4.3,422,Sandwich shop,,
The Little Beet,-73.9855411,40.7539547,TRUE,4.3,60,Restaurant,,
Chopt Creative Salad Co.,-73.9858487,40.7482454,TRUE,3.8,,Salad shop,,
Foley's,-73.9863201,40.7482062,TRUE,4.5,606,Bar,,
Junior¡¯s,-73.9867036,40.7583002,TRUE,4.2,51,Restaurant,,
BATSU!,-73.9872202,40.7253512,TRUE,4.7,209,Comedy club,,
The Clocktower,-73.987368,40.741295,TRUE,4.5,495,British restaurant,,
Just Salad,-73.9884828,40.7524124,TRUE,4,160,Restaurant,,
Sushi By Bae,-73.9887699,40.7346461,TRUE,4.8,,Sushi restaurant,,
Ben¡¯s Kosher Delicatessen Restaurant & Caterers,-73.9892345,40.7539654,TRUE,4.2,1168,Kosher restaurant,,
Bar Milano by Eataly,-73.9896139,40.7421016,TRUE,5,,Restaurant,,
Birdland Jazz Club,-73.9896861,40.7590167,TRUE,4.7,1833,Jazz club,,
Feroce Ristorante,-73.9909496,40.7464038,TRUE,4.3,177,Italian restaurant,,
Nathan's Famous,-73.992168,40.7499718,TRUE,3.1,,Hot dog restaurant,,
Theatre Row,-73.9933176,40.7585671,TRUE,4.5,,Performing arts theater,,
The Sheen Center for Thought & Culture,-73.9933999,40.725464,TRUE,4.6,,Performing arts theater,,
Gotham,-73.9936942,40.734199,TRUE,4.5,1168,New American restaurant,,
ACME,-73.9940625,40.7272181,TRUE,4.1,,New American restaurant,,
Randolph Beer NOLITA,-73.9949351,40.7196164,TRUE,4.3,453,Gastropub,,
Seamore's Nolita,-73.99691,40.7206673,TRUE,4.3,590,Seafood restaurant,,
Rocky's Pizza Bar & Restaurant,-73.9988889,40.7541667,TRUE,3.9,411,Pizza restaurant,,
Kuro-Obi Ramen by Ippudo,-74.000872,40.718944,TRUE,4.1,96,Ramen restaurant,,
Blue Ribbon Downing Street Bar,-74.0039231,40.729421,TRUE,4.7,,Wine bar,,
A.O.C. L'aile ou la Cuisse,-74.0040534,40.7327893,TRUE,4.2,,French restaurant,,
Matryoshka,-74.0059012,40.7091074,TRUE,4.1,,Russian restaurant,,
Andaz Kitchen & Bar,-74.008024,40.7051691,TRUE,4.3,,Restaurant,,
Joseph's Restaurant,-74.0095927,40.7048499,TRUE,4.5,184,Northern Italian restaurant,,
Sophie's Cuban Cuisine,-74.0125389,40.705587,TRUE,4,323,Cuban restaurant,,
